,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
213,2021-05-06:18,보통,64.0,보통,19.0,보통,0.06,좋음,0.022,좋음,0.4,좋음,0.003
214,2021-05-06:17,나쁨,87.0,보통,27.0,보통,0.072,좋음,0.017,좋음,0.4,좋음,0.003
215,2021-05-06:16,나쁨,97.0,보통,32.0,보통,0.073,좋음,0.021,좋음,0.5,좋음,0.004
216,2021-05-06:15,나쁨,97.0,보통,33.0,보통,0.071,좋음,0.021,좋음,0.5,좋음,0.003
217,2021-05-06:14,나쁨,84.0,보통,25.0,보통,0.058,좋음,0.026,좋음,0.5,좋음,0.004
218,2021-05-06:13,보통,80.0,보통,20.0,보통,0.046,좋음,0.028,좋음,0.4,좋음,0.003
219,2021-05-06:12,보통,72.0,보통,16.0,보통,0.031,보통,0.032,좋음,0.4,좋음,0.003
220,2021-05-06:11,보통,79.0,좋음,15.0,좋음,0.023,보통,0.034,좋음,0.5,좋음,0.003
221,2021-05-06:10,나쁨,86.0,좋음,12.0,좋음,0.019,보통,0.038,좋음,0.5,좋음,0.003
222,2021-05-06:09,나쁨,87.0,좋음,15.0,좋음,0.012,보통,0.043,좋음,0.6,좋음,0.004
223,2021-05-06:08,보통,74.0,좋음,15.0,좋음,0.012,보통,0.04,좋음,0.5,좋음,0.003
224,2021-05-06:07,보통,68.0,보통,16.0,좋음,0.007,보통,0.041,좋음,0.5,좋음,0.003
225,2021-05-06:06,보통,67.0,보통,16.0,좋음,0.009,보통,0.037,좋음,0.5,좋음,0.002
226,2021-05-06:05,보통,70.0,보통,17.0,좋음,0.012,보통,0.034,좋음,0.5,좋음,0.003
227,2021-05-06:04,보통,68.0,보통,16.0,좋음,0.018,좋음,0.027,좋음,0.4,좋음,0.003
228,2021-05-06:03,보통,72.0,보통,17.0,좋음,0.018,좋음,0.027,좋음,0.4,좋음,0.003
229,2021-05-06:02,보통,66.0,보통,16.0,좋음,0.019,좋음,0.028,좋음,0.4,좋음,0.003
230,2021-05-06:01,보통,73.0,보통,18.0,좋음,0.015,보통,0.035,좋음,0.4,좋음,0.002
231,2021-05-05:24,보통,78.0,보통,17.0,좋음,0.022,보통,0.033,좋음,0.4,좋음,0.002
